Common name,PROTEIN,ASH,FAT,DIETARY-FIBRE,CARBOHYDRATE,ENERGY,THIAMINE,RIBOFLAVIN,NIACIN,PANTAC,VITAMIN B6,VITAMIN B7,VITAMIN B9,VITAMIN C,ALUMINIUM,CALCIUM,COPPER,IRON,MAGNESIUM,MANGANESE,NICKEL,PHOSPHOR,POTASSIUM,SODIUM,ZINC
Gold fish,16.91,1.1,2.94,0.01,0.01,396,0.01,0.05,1.86,1.13,225,0.01,548.44,0.01,0.27,23.945,0.015,0.76,21.66,0.02,0.01,185,243,27.53,1.69
Goosberry,0.37,0.195,0.1,4.195,2.74,59,0.01,0.021,0.07,0.195,0.162,0.885,208.44,141.2,0.05,11.325,0.1,0.665,3.715,0.065,0.006,11.86,117.8,0.78,0.03
Grapes,1.125,0.288,0.185,0.718,8.031,153.583,0.025,0.021,0.082,0.06,0.055,0.661,211.94,12.055,0.01,8.283,0.085,0.166,5.001,0.062,0.007,13.709,105.917,1.214,0.042
Green gram,23.725,1.582,0.715,6.792,24.952,653,0.224,0.104,1.09,1.027,0.146,0.555,60.94,0.01,1.585,37.845,0.555,2.395,102.35,0.542,0.073,206.25,651.15,5.755,1.352
Ground nut,24.5,1.09,19.96,5.28,8.8,1092.5,0.311,0.068,5.855,0.52,0.126,0.915,319.44,0.01,1.775,30.685,0.5,1.9,106.25,0.845,0.12,202,363.95,6.34,1.66
Guava,1.455,0.41,0.158,4.102,3.718,85.25,0.024,0.021,0.325,0.125,0.078,0.588,215.94,119.15,0.01,9.44,0.098,0.232,8.015,0.12,0.007,16.11,152.925,1.228,0.12
Guinea fowl,20.52,0.92,3.24,0.01,0.01,469,0.02,0.18,3.64,0.71,0.58,0.01,368.44,0.01,0.01,15.385,0.085,2.2,21,0.03,0,187,240,57.64,1.48
Guitar fish,22.56,1.32,0.44,0.01,0.01,400,0.03,0.02,2.01,0.15,139,0.01,453.44,0.01,0.01,8.66,0.015,0.44,27.45,0.01,0.002,230,342,70.81,0.35
Hare,20.757,1.233,4.43,0.01,0.01,517,0.073,0.257,5.173,0.65,0.247,0.01,433.44,0.01,0.01,24.815,0.145,2.74,30.333,0.03,0,276.667,337.667,48.707,1.93
Hilsa,21.8,1.11,18.49,0.01,0.01,1083,0.01,0.04,2.85,2.33,120,0.01,454.44,0.01,0.59,9.91,0.075,1.19,30.62,0.08,0.001,278,341,80.88,0.64
Horse gram,22.02,1.675,0.33,3.95,28.87,694,0.161,0.136,1.04,0.82,0.114,0.33,62.44,0.01,2.865,151.95,0.69,4.96,85.05,1.77,0.175,160.25,553.7,6.155,1.46
Jack fruit,3.76,0.543,0.173,3.4,5.217,127,0.031,0.019,0.153,0.155,0.06,2.215,179.773,7.992,0.01,22.23,0.145,0.232,20.88,0.227,0.007,17.317,188.167,1.64,0.142
Jaggery,2.04,1.045,0.09,0.01,42.75,744.5,0.023,0.005,0.01,0.12,0.397,0.32,329.44,0.01,1.61,63.35,0.055,2.93,71.45,0.555,0.012,43.365,295.5,16.425,0.335
Jallal,21.55,1.17,1.46,0.01,0.01,420,0.02,0.02,3.24,0.91,89.14,0.01,455.44,0.01,0.01,7.365,0.015,0.46,29.12,0.01,0.003,204,368,74.33,0.83
Jambu fruit,0.82,0.31,0.17,3.07,12.3,235,0.02,0.02,0.14,0.31,0.03,2.57,218.44,16.47,0.45,12.68,0.01,0.33,27.97,0.04,0.016,9.6,103,2.64,0.06
Jathi vela meen,22.45,1.26,1.92,0.01,0.01,453,0.12,0.02,2.82,0.29,67.45,0.01,456.44,0.01,0.01,3.325,0.01,0.28,31.12,0.01,0.003,249,467,30.53,0.35
Jowar,10.4,0.865,1.02,5.355,34.355,705.5,0.194,0.077,1.095,0.145,0.152,0.38,31.44,0.01,1.575,15.655,0.28,2.445,73.9,0.65,0.04,154.85,176.55,2.815,1.135
Kadal bral,18.72,1.27,1.34,0.01,0.01,368,0.01,0.06,1.76,0.19,89.19,0.01,457.44,0.01,0.01,36.96,0.01,0.31,29.55,0.02,0.002,219,366,53.66,0.38
Kadali,22.07,1.06,4.2,0.01,0.01,530,0.04,0.01,1.86,0.32,184,0.01,458.44,0.01,0.01,4.31,0.01,0.38,26.23,0.001,0.005,207,390,36.06,0.35
Kalamaara,20.89,1.08,4.54,0.01,0.01,523,0.06,0.03,2.22,0.65,160,0.01,459.44,0.01,0.01,3.77,0.015,0.5,34.29,0.01,0.003,227,420,29.33,0.38
Kalava,19.38,1.34,1.2,0.01,0.01,374,0.06,0.05,2.24,0.22,135,0.01,460.44,0.01,0.01,5.33,0.36,0.26,22.87,0.02,0.003,177,279,40.14,0.82
Kanamayya,20.19,1.07,0.65,0.01,0.01,367,0.06,0.01,1.22,1.46,83.86,0.01,461.44,0.01,0.01,3.86,0.01,0.36,27.07,0.01,0.003,194,346,50.53,0.31
Kannadi paarai,22.33,0.735,0.835,0.01,0.01,217,0.03,0.015,1.04,0.57,38.275,0.01,462.44,0.01,0.01,5.79,0.02,0.185,17.395,0.005,0.004,149.85,239.9,37.36,0.225
Karimeen,19.68,0.97,1.38,0.01,0.01,386,0.08,0.05,1.15,0.23,90.62,0.01,463.44,0.01,0.01,5.865,0,0.6,28.49,0.03,0.005,192,452,23.72,0.46
Karnagawala,19.52,1.45,0.84,0.01,0.01,363,0.07,0.01,0.98,1.39,60.47,0.01,464.44,0.01,0.01,30.015,0.005,0.44,44.3,0.02,0.004,178,228,63.27,0.41
Karonda fruit,1.15,1.02,1.67,7.25,2.87,141,0.01,0.02,0.25,0.67,0.08,1.55,219.44,135,0.99,5.405,0.355,0.87,24.45,0.24,0.01,32.62,351,2.55,0.25
Kayrai,20.15,1.28,3,0.01,0.01,454,0.08,0.07,5.18,1.29,264,0.01,465.44,0.01,0.01,3,0.04,0.98,31.74,0.01,0.003,266,321,25.12,0.39
Khoa,16.95,2.07,10.725,0.01,8.895,668,0.062,0.058,0.23,0.17,0.033,10.625,340.44,0.01,1.85,340.85,0.08,1.34,32.285,0.055,0.004,261.7,280.15,29.495,1.245
Kiriyan,22.49,0.94,4.7,0.01,0.01,556,0.04,0.13,2.75,1.36,121,0.01,466.44,0.01,0.01,9.71,0.045,1,31.98,0.03,0.004,214,277,35.88,0.82
